time	V(vout)
Step Information: Run=0  (Run: 1/129)
1.400540700897558e+000	4.208700e-003
1.400540705824387e+000	3.409149e-003
1.400540712555351e+000	2.731218e-003
1.400540720373176e+000	2.249842e-003
1.400540731625004e+000	1.842299e-003
1.400540745512718e+000	1.551481e-003
1.400540766361139e+000	1.310587e-003
1.400540793719472e+000	1.139817e-003
1.400540836913876e+000	1.001926e-003
1.400540897373492e+000	9.058235e-004
1.400540998790461e+000	8.307543e-004
1.400541150601207e+000	7.802285e-004
1.400541425465878e+000	7.425300e-004
1.400541867004382e+000	7.188003e-004
1.400544424034983e+000	6.933471e-004
1.400547771942168e+000	6.888204e-004
1.400554467756535e+000	6.872056e-004
1.416648209157646e+000	6.870978e-004
1.457448209157551e+000	6.859654e-004
1.498248209157456e+000	6.849823e-004
1.519048209157408e+000	6.845320e-004
1.559848209157313e+000	6.837377e-004
1.600648209157217e+000	6.830481e-004
1.621448209157169e+000	6.827323e-004
1.662348209157074e+000	6.821761e-004
1.703248209156978e+000	6.817213e-004
1.723848209156930e+000	6.815746e-004
1.764748209156835e+000	6.819684e-004
1.790348209156775e+000	6.840694e-004
1.809448209156731e+000	6.904344e-004
1.822048209156701e+000	7.231149e-004
1.823348209156698e+000	7.512126e-004
1.823848209156697e+000	7.855451e-004
1.824048209156697e+000	8.203508e-004
1.824148209156697e+000	8.584750e-004
1.824248209156696e+000	9.222326e-004
1.824260709156697e+000	9.374314e-004
1.824291959156696e+000	9.987288e-004
1.824304459156696e+000	1.065406e-003
1.824329459156697e+000	1.292411e-003
1.824331140301982e+000	1.326457e-003
1.824334502592549e+000	1.437180e-003
1.824335343165192e+000	1.475856e-003
1.824337024310477e+000	1.627721e-003
1.824340386601044e+000	2.152417e-003
1.824340872861555e+000	2.365684e-003
1.824341845382580e+000	3.145702e-003
1.824341949975707e+000	3.301005e-003
1.824342159161958e+000	3.799937e-003
1.824342293996732e+000	4.312479e-003
1.824342469794580e+000	5.318759e-003
1.824342503687614e+000	5.622706e-003
1.824342571473679e+000	6.526191e-003
1.824342628722555e+000	7.638990e-003
1.824342674962846e+000	9.038056e-003
1.824342711719449e+000	1.078708e-002
1.824342741837338e+000	1.307450e-002
1.824342767447412e+000	1.624049e-002
1.824342789185415e+000	2.071520e-002
1.824342807748867e+000	2.721786e-002
1.824342824032748e+000	3.708450e-002
1.824342838948155e+000	5.290361e-002
1.824342853658749e+000	8.014041e-002
1.824342869453822e+000	1.282102e-001
1.824342886117275e+000	2.035295e-001
1.824342910022065e+000	3.416294e-001
1.824342936280043e+000	5.115548e-001
1.824342964465568e+000	7.020602e-001
1.824343010836806e+000	1.018695e+000
1.824343103579281e+000	1.628278e+000
1.824343195380667e+000	2.175863e+000
1.824343291674090e+000	2.683823e+000
1.824343334134905e+000	2.848302e+000
1.824343388214878e+000	2.967907e+000
1.824343426206269e+000	3.013129e+000
1.824343466438247e+000	3.037774e+000
1.824343509021517e+000	3.053268e+000
1.824343565549111e+000	3.065681e+000
1.824343641824271e+000	3.075866e+000
1.824343735820094e+000	3.083296e+000
1.824343878125863e+000	3.089767e+000
1.824344054893775e+000	3.094277e+000
1.824344359851871e+000	3.098290e+000
1.824344854031423e+000	3.101372e+000
1.824345842390532e+000	3.103798e+000
1.824347819108748e+000	3.105371e+000
1.824351772545182e+000	3.106126e+000
1.824359679418048e+000	3.106360e+000
1.846770375638123e+000	3.106283e+000
1.873070375638061e+000	3.106284e+000
1.903670375637990e+000	3.106285e+000
1.923270375637944e+000	3.106285e+000
1.961670375637855e+000	3.106286e+000
2.005970375637752e+000	3.106287e+000
2.025670375637706e+000	3.106287e+000
2.079870375637579e+000	3.106288e+000
2.128070375637467e+000	3.106288e+000
2.193470375637315e+000	3.106280e+000
2.230470375637228e+000	3.106249e+000
2.286370375637098e+000	3.105993e+000
